token	corpus size	all contexts size	frequency	co-frequency	specificity
lá	118662	24424	1382	1275	735.09
màu	118662	24424	1764	1435	664.27
cây	118662	24424	1048	847	385.13
xanh	118662	24424	2215	1052	178.86
nền	118662	24424	264	208	90.63
đậm	118662	24424	170	154	85.43
sm	118662	24424	124	118	72.05
ý_nghĩa	118662	24424	200	160	71.69
hình	118662	24424	200	156	67.04
nhạt	118662	24424	106	97	55.04
với	118662	24424	775	332	44.29
dương	118662	24424	66	59	32.34
kết_hợp	118662	24424	164	102	30.24
mau	118662	24424	69	59	29.99
achievement_image	118662	24424	48	46	28.74
sự	118662	24424	548	225	27.25
pastel	118662	24424	44	41	24.34
cảm_giác	118662	24424	130	81	24.28
trà	118662	24424	51	45	24.25
cute	118662	24424	34	33	21.23
la	118662	24424	34	32	19.43
phối	118662	24424	51	40	17.89
trắng	118662	24424	104	62	17.42
tạo	118662	24424	379	151	17.25
hop	118662	24424	25	25	17.17
làn_sóng	118662	24424	30	28	16.79
mang	118662	24424	275	117	16.04
trong	118662	24424	1048	327	15.85
biểu_tượng	118662	24424	64	43	15.02
gi	118662	24424	28	25	13.95
không_gian	118662	24424	151	73	13.71
gì	118662	24424	144	70	13.33
máy_tính	118662	24424	45	32	12.41
sắc_độ	118662	24424	25	22	12.04
phòng	118662	24424	121	60	12.03
mệnh	118662	24424	92	49	11.42
voi	118662	24424	32	25	11.34
mẫu	118662	24424	108	54	11.09
đỏ	118662	24424	69	40	10.99
nội_thất	118662	24424	78	43	10.77
nên	118662	24424	160	70	10.65
của	118662	24424	1072	309	10.54
chuyển_đổi	118662	24424	50	32	10.52
sanh	118662	24424	18	17	10.52
sắc	118662	24424	53	33	10.36
rêu	118662	24424	32	24	10.26
bảng_màu	118662	24424	26	21	10.10
thiên_nhiên	118662	24424	108	52	9.95
gam	118662	24424	79	42	9.88
tượng_trưng	118662	24424	53	32	9.57
thiết_kế	118662	24424	210	82	9.36
hợp	118662	24424	74	39	9.09
ngoại_thất	118662	24424	33	23	8.83
thường	118662	24424	177	71	8.81
tươi	118662	24424	128	56	8.71
mộc	118662	24424	79	40	8.64
sẽ	118662	24424	265	95	8.44
ứng_dụng	118662	24424	75	38	8.26
xám	118662	24424	40	25	8.06
kem	118662	24424	28	20	8.04
nâu	118662	24424	36	23	7.73
xanh_lam	118662	24424	11	11	7.55
là	118662	24424	946	262	7.49
lục	118662	24424	70	35	7.48
sống	118662	24424	154	61	7.47
taxi	118662	24424	63	32	7.11
tone	118662	24424	28	19	7.11
tường	118662	24424	70	34	6.91
cho	118662	24424	823	229	6.86
đại_diện	118662	24424	47	26	6.85
vàng	118662	24424	157	60	6.74
lựa_chọn	118662	24424	87	39	6.66
chiến_lược	118662	24424	16	13	6.48
mạ	118662	24424	28	18	6.24
hiện_đại	118662	24424	74	34	6.21
gần_gũi	118662	24424	47	25	6.20
sử_dụng	118662	24424	225	77	6.15
sơn	118662	24424	168	61	5.98
achievement	118662	24424	11	10	5.92
phối_màu	118662	24424	43	23	5.81
cùng	118662	24424	145	54	5.77
tình_yêu	118662	24424	35	20	5.72
khởi_đầu	118662	24424	20	14	5.62
tây	118662	24424	18	13	5.49
bạc_hà	118662	24424	8	8	5.49
tote	118662	24424	8	8	5.49
nấm	118662	24424	215	72	5.45
không	118662	24424	519	148	5.43
ngọc	118662	24424	16	12	5.38
phong_thủy	118662	24424	45	23	5.38
xanh_lơ	118662	24424	10	9	5.28
lan_tỏa	118662	24424	26	16	5.26
và	118662	24424	1897	463	5.26
tươi_sáng	118662	24424	21	14	5.25
malbon	118662	24424	98	39	5.16
tông	118662	24424	29	17	5.16
ảnh	118662	24424	109	42	5.09
ngon	118662	24424	60	27	4.90
một	118662	24424	548	152	4.89
đen	118662	24424	67	29	4.82
creator	118662	24424	7	7	4.81
đem	118662	24424	45	22	4.79
be	118662	24424	25	15	4.78
xanhsm	118662	24424	20	13	4.74
chủ_đạo	118662	24424	13	10	4.71
thời_trang	118662	24424	78	32	4.68
green	118662	24424	46	22	4.61
cây_cối	118662	24424	23	14	4.60
hài_hòa	118662	24424	62	27	4.59
mát	118662	24424	21	13	4.42
khi	118662	24424	327	96	4.38
chiếc	118662	24424	84	33	4.37
gặp	118662	24424	27	15	4.26
vinfast	118662	24424	45	21	4.24
cách	118662	24424	179	58	4.16
feedback	118662	24424	6	6	4.12
áo_phông	118662	24424	6	6	4.12
hoả	118662	24424	6	6	4.12
dễ_chịu	118662	24424	25	14	4.06
mướt	118662	24424	10	8	4.04
mở_đường	118662	24424	10	8	4.04
phù_hợp	118662	24424	102	37	3.98
tươi_mát	118662	24424	15	10	3.89
mát_mẻ	118662	24424	15	10	3.89
giải	118662	24424	15	10	3.89
sơ_mi	118662	24424	32	16	3.81
túi	118662	24424	134	45	3.80
tham_khảo	118662	24424	45	20	3.73
xuất_hiện	118662	24424	42	19	3.70
cuộc_sống	118662	24424	69	27	3.69
bếp	118662	24424	33	16	3.62
mục_lục	118662	24424	27	14	3.61
tự_nhiên	118662	24424	77	29	3.59
khắp	118662	24424	11	8	3.58
vest	118662	24424	11	8	3.58
sang_trọng	118662	24424	43	19	3.54
nhau	118662	24424	107	37	3.54
còn	118662	24424	250	73	3.52
nhà	118662	24424	230	68	3.49
hồng	118662	24424	50	21	3.49
đá_quý	118662	24424	19	11	3.47
vì	118662	24424	108	37	3.45
đặc_trưng	118662	24424	9	7	3.45
sơn_phòng	118662	24424	9	7	3.45
pha_trộn	118662	24424	5	5	3.43
đbscl	118662	24424	5	5	3.43
trinh	118662	24424	5	5	3.43
thiên_đường	118662	24424	5	5	3.43
tăng_trưởng	118662	24424	25	13	3.41
da	118662	24424	44	19	3.40
giúp	118662	24424	232	68	3.39
json	118662	24424	14	9	3.38
power	118662	24424	14	9	3.38
point	118662	24424	14	9	3.38
mầm	118662	24424	7	6	3.37
255	118662	24424	7	6	3.37
ngủ	118662	24424	51	21	3.36
kim	118662	24424	35	16	3.28
cổ_điển	118662	24424	17	10	3.28
lại	118662	24424	293	82	3.26
gợi_ý	118662	24424	20	11	3.23
trẻ_trung	118662	24424	23	12	3.21
onhúng	118662	24424	12	8	3.20
châm	118662	24424	12	8	3.20
ánh_kim	118662	24424	12	8	3.20
thanh_lịch	118662	24424	36	16	3.12
phổ_biến	118662	24424	33	15	3.08
sinh_sôi	118662	24424	15	9	3.08
màu_sắc	118662	24424	161	49	3.05
ánh_sáng	118662	24424	68	25	3.04
ưu_tiên	118662	24424	10	7	3.03
dễ_thương	118662	24424	10	7	3.03
outfit	118662	24424	10	7	3.03
ghép	118662	24424	10	7	3.03
uống	118662	24424	40	17	3.03
khoáng_sản	118662	24424	18	10	3.02
banner	118662	24424	27	13	3.02
phát_triển	118662	24424	142	44	2.98
hành	118662	24424	34	15	2.93
thuộc	118662	24424	41	17	2.89
làm_việc	118662	24424	48	19	2.88
bầu_trời	118662	24424	8	6	2.87
sáng_sủa	118662	24424	8	6	2.87
da_trời	118662	24424	8	6	2.87
israel	118662	24424	8	6	2.87
nhà_bếp	118662	24424	8	6	2.87
garnet	118662	24424	8	6	2.87
trang_trí	118662	24424	28	13	2.85
hex	118662	24424	28	13	2.85
tím	118662	24424	16	9	2.82
di_chuyển	118662	24424	19	10	2.80
rgb	118662	24424	35	15	2.79
tình_nguyện	118662	24424	6	5	2.75
văn_hoá	118662	24424	6	5	2.75
viet	118662	24424	4	4	2.75
sứ_mệnh	118662	24424	4	4	2.75
phổ_cập	118662	24424	4	4	2.75
pháo_đài	118662	24424	4	4	2.75
trầm	118662	24424	4	4	2.75
phong_thuỷ	118662	24424	4	4	2.75
đeo	118662	24424	4	4	2.75
chinos	118662	24424	4	4	2.75
khôn_ngoan	118662	24424	4	4	2.75
thiên_thanh	118662	24424	4	4	2.75
nm	118662	24424	4	4	2.75
144	118662	24424	4	4	2.75
đèn_xanh	118662	24424	4	4	2.75
zero	118662	24424	4	4	2.75
tiếp_sức	118662	24424	4	4	2.75
trà_hoa	118662	24424	4	4	2.75
chẽ	118662	24424	4	4	2.75
mục_sở_thị	118662	24424	4	4	2.75
vườn_di_sản	118662	24424	4	4	2.75
vinco	118662	24424	4	4	2.75
cơ_giới_hóa	118662	24424	4	4	2.75
ting	118662	24424	4	4	2.75
phủ_sóng	118662	24424	4	4	2.75
có_thể	118662	24424	217	61	2.73
làn	118662	24424	11	7	2.69
các_tông	118662	24424	11	7	2.69
gậy	118662	24424	36	15	2.65
chuối	118662	24424	23	11	2.62
bình	118662	24424	40	16	2.59
khói	118662	24424	9	6	2.50
ví_dụ	118662	24424	9	6	2.50
128	118662	24424	9	6	2.50
37	118662	24424	9	6	2.50
ngọc_bích	118662	24424	9	6	2.50
cổ_phần	118662	24424	34	14	2.47
thế	118662	24424	21	10	2.42
sạch	118662	24424	31	13	2.41
khai_trương	118662	24424	12	7	2.41
trung_tính	118662	24424	18	9	2.39
gợi	118662	24424	15	8	2.38
nhiều	118662	24424	332	85	2.35
100	118662	24424	57	20	2.35
giao	118662	24424	57	20	2.35
khách	118662	24424	69	23	2.31
theo_đuổi	118662	24424	7	5	2.31
linh_hoạt	118662	24424	7	5	2.31
cây_cỏ	118662	24424	7	5	2.31
rác_thải	118662	24424	7	5	2.31
thì	118662	24424	73	24	2.31
phương	118662	24424	25	11	2.30
chuẩn	118662	24424	25	11	2.30
giãn	118662	24424	39	15	2.30
biết	118662	24424	58	20	2.27
khác	118662	24424	173	48	2.27
thông_điệp	118662	24424	22	10	2.26
thư_giãn	118662	24424	22	10	2.26
gắn	118662	24424	19	9	2.21
tỉnh_thành	118662	24424	10	6	2.20
biệt_thự	118662	24424	10	6	2.20
boston	118662	24424	10	6	2.20
như	118662	24424	271	70	2.20
hoàn_toàn	118662	24424	16	8	2.18
bình_yên	118662	24424	16	8	2.18
sắc_thái	118662	24424	13	7	2.17
ấm_cúng	118662	24424	13	7	2.17
khám_phá	118662	24424	33	13	2.17
cmyk	118662	24424	33	13	2.17
thực_sự	118662	24424	5	4	2.15
thẫm	118662	24424	5	4	2.15
tĩnh_lặng	118662	24424	5	4	2.15
rừng_núi	118662	24424	5	4	2.15
tin_tưởng	118662	24424	5	4	2.15
vai	118662	24424	5	4	2.15
ươm	118662	24424	5	4	2.15
trường_sa	118662	24424	5	4	2.15
bạch_mã	118662	24424	5	4	2.15
giữa	118662	24424	129	37	2.15
nấm_xanh	118662	24424	52	18	2.13
cân_bằng	118662	24424	52	18	2.13
may_mắn	118662	24424	37	14	2.13
cũng	118662	24424	181	49	2.12
phong_cách	118662	24424	84	26	2.11
amp	118662	24424	23	10	2.11
truyền_cảm_hứng	118662	24424	3	3	2.06
sapa	118662	24424	3	3	2.06
thủy_ngũ_hành	118662	24424	3	3	2.06
olive	118662	24424	3	3	2.06
bơ	118662	24424	3	3	2.06
giao_thoa	118662	24424	3	3	2.06
ô_liu	118662	24424	3	3	2.06
ngon_miệng	118662	24424	3	3	2.06
chill	118662	24424	3	3	2.06
sử_dụng_ý_nghĩa	118662	24424	3	3	2.06
pinterest	118662	24424	3	3	2.06
tourmaline	118662	24424	3	3	2.06
xênh	118662	24424	3	3	2.06
btc	118662	24424	3	3	2.06
tất_yếu	118662	24424	3	3	2.06
nâu_nâu	118662	24424	3	3	2.06
giám_sát	118662	24424	3	3	2.06
cafein	118662	24424	3	3	2.06
nhẹ_nhàng	118662	24424	34	13	2.06
mặt	118662	24424	42	15	2.01
tối_giản	118662	24424	8	5	1.98
ngũ_hành	118662	24424	8	5	1.98
marketing	118662	24424	8	5	1.98
thuần_khiết	118662	24424	8	5	1.98
tỷ_lệ	118662	24424	8	5	1.98
tượng	118662	24424	8	5	1.98
classic	118662	24424	8	5	1.98
thiên	118662	24424	14	7	1.97
thoáng_đãng	118662	24424	11	6	1.95
đồ	118662	24424	87	26	1.94
bền_vững	118662	24424	83	25	1.93
hoạt_động	118662	24424	83	25	1.93
việt_nam_xanh	118662	24424	25	10	1.85
tài_xế	118662	24424	25	10	1.85
yên	118662	24424	25	10	1.85
buổi	118662	24424	18	8	1.85
thân_thiện	118662	24424	18	8	1.85
nhìn	118662	24424	40	14	1.85
dùng	118662	24424	103	29	1.79
hình_ảnh	118662	24424	37	13	1.77
nhấn	118662	24424	37	13	1.77
sức_sống	118662	24424	37	13	1.77
xml	118662	24424	6	4	1.77
tech	118662	24424	6	4	1.77
một_chút	118662	24424	6	4	1.77
chanh	118662	24424	6	4	1.77
đơn_sắc	118662	24424	6	4	1.77
hồi_giáo	118662	24424	6	4	1.77
trung_đông	118662	24424	6	4	1.77
