token	corpus size	all contexts size	frequency	co-frequency	specificity
أخضر	96613	2422	163	61	53.46
داكن	96613	2422	11	11	17.62
باستيل	96613	2422	47	18	16.50
حلم	96613	2422	12	10	14.22
ر.س	96613	2422	16	11	14.03
31.05	96613	2422	13	10	13.59
جميل	96613	2422	10	8	11.18
اضف	96613	2422	19	10	11.15
بان	96613	2422	29	11	10.28
للسلة	96613	2422	18	9	9.83
أزرق	96613	2422	9	7	9.68
زيتوني	96613	2422	6	6	9.61
غامق	96613	2422	7	6	8.77
أحمر	96613	2422	9	6	7.72
شاي	96613	2422	9	6	7.72
GREEN	96613	2422	6	5	7.24
TEA	96613	2422	7	5	6.71
فاتح	96613	2422	4	4	6.40
(أكسيد	96613	2422	4	4	6.40
كروميوم),	96613	2422	4	4	6.40
لمستقبل	96613	2422	4	4	6.40
بلادي	96613	2422	4	4	6.40
أووه..	96613	2422	4	4	6.40
الفستقي،	96613	2422	4	4	6.40
والمفعول	96613	2422	4	4	6.40
نسبة	96613	2422	18	6	5.47
logo-img	96613	2422	6	4	5.25
الزمردي،	96613	2422	6	4	5.25
لون	96613	2422	99	12	5.21
انضم	96613	2422	13	5	4.98
كم	96613	2422	7	4	4.89
صريح	96613	2422	3	3	4.80
مزرق	96613	2422	3	3	4.80
(ثايلو)	96613	2422	3	3	4.80
نفذت	96613	2422	3	3	4.80
الشوارع:	96613	2422	3	3	4.80
وحضاري	96613	2422	3	3	4.80
المثال:	96613	2422	3	3	4.80
مستقبلٌ	96613	2422	3	3	4.80
أخضر؟	96613	2422	3	3	4.80
الفستق	96613	2422	3	3	4.80
الحلبي	96613	2422	3	3	4.80
الطازج.	96613	2422	3	3	4.80
صارخ	96613	2422	3	3	4.80
ومعتدل	96613	2422	3	3	4.80
قوته.	96613	2422	3	3	4.80
الزرقة.	96613	2422	3	3	4.80
الدغل	96613	2422	3	3	4.80
اخضرَّ	96613	2422	3	3	4.80
Podcast.	96613	2422	3	3	4.80
حسّن	96613	2422	3	3	4.80
ورفاهيتك	96613	2422	3	3	4.80
أي	96613	2422	83	10	4.43
أصفر	96613	2422	9	4	4.36
ولكنه	96613	2422	9	4	4.36
ربيعي	96613	2422	4	3	4.21
أرجواني	96613	2422	4	3	4.21
برتقالي	96613	2422	4	3	4.21
ويميل	96613	2422	4	3	4.21
خضاب	96613	2422	4	3	4.21
اليومية	96613	2422	10	4	4.15
وهو	96613	2422	94	10	3.98
الكمية	96613	2422	5	3	3.83
استثمار	96613	2422	5	3	3.83
مستدام	96613	2422	5	3	3.83
ت	96613	2422	5	3	3.83
المميز	96613	2422	5	3	3.83
لوز	96613	2422	5	3	3.83
نمط	96613	2422	5	3	3.83
جدول	96613	2422	6	3	3.54
ن	96613	2422	6	3	3.54
تفاحي	96613	2422	6	3	3.54
يشبه	96613	2422	6	3	3.54
صحتك	96613	2422	6	3	3.54
حمل	96613	2422	14	4	3.51
ع	96613	2422	7	3	3.30
بلون	96613	2422	7	3	3.30
متوفر	96613	2422	7	3	3.30
ندخل	96613	2422	2	2	3.20
خلية	96613	2422	2	2	3.20
نشاهد؟	96613	2422	2	2	3.20
إننا	96613	2422	2	2	3.20
نشاهد	96613	2422	2	2	3.20
تركيبًا	96613	2422	2	2	3.20
للمادة	96613	2422	2	2	3.20
تمييزَ	96613	2422	2	2	3.20
اللونين	96613	2422	2	2	3.20
ألوانِ	96613	2422	2	2	3.20
المُظلم	96613	2422	2	2	3.20
بالأسمرِ.	96613	2422	2	2	3.20
ضفدع	96613	2422	2	2	3.20
المتحدة؛	96613	2422	2	2	3.20
ليموني	96613	2422	2	2	3.20
سرخسي	96613	2422	2	2	3.20
باستيلي	96613	2422	2	2	3.20
نفلي	96613	2422	2	2	3.20
(أو	96613	2422	2	2	3.20
[align=justify]أخي	96613	2422	2	2	3.20
فؤادي	96613	2422	2	2	3.20
يخضب	96613	2422	2	2	3.20
أردت	96613	2422	2	2	3.20
.[/align]	96613	2422	2	2	3.20
بجمال	96613	2422	2	2	3.20
شاعريتك	96613	2422	2	2	3.20
وعذوبة	96613	2422	2	2	3.20
اسلوبك	96613	2422	2	2	3.20
بالالتصاق	96613	2422	2	2	3.20
مخضراً	96613	2422	2	2	3.20
أثرت	96613	2422	2	2	3.20
شجوني	96613	2422	2	2	3.20
فحلمي	96613	2422	2	2	3.20
أتمنى	96613	2422	2	2	3.20
أعود	96613	2422	2	2	3.20
وأعيش	96613	2422	2	2	3.20
تمنيت	96613	2422	2	2	3.20
وزهرة	96613	2422	2	2	3.20
الكرز	96613	2422	2	2	3.20
AND	96613	2422	2	2	3.20
CHERRY	96613	2422	2	2	3.20
BLOSS	96613	2422	2	2	3.20
BABY	96613	2422	2	2	3.20
وهوامش	96613	2422	2	2	3.20
ناقش	96613	2422	2	2	3.20
(يسار)	96613	2422	2	2	3.20
ساخرة	96613	2422	2	2	3.20
للانضمام	96613	2422	2	2	3.20
الاستوائية،	96613	2422	2	2	3.20
شبيه	96613	2422	2	2	3.20
أخضرَ	96613	2422	2	2	3.20
الزَّرعَ:	96613	2422	2	2	3.20
اختضارًا،	96613	2422	2	2	3.20
باعه	96613	2422	2	2	3.20
Home	96613	2422	2	2	3.20
الذُّؤْنُون	96613	2422	2	2	3.20
سبيل	96613	2422	17	4	3.17
فهو	96613	2422	45	6	3.13
الأخضر	96613	2422	571	27	3.11
نص	96613	2422	8	3	3.11
[مفرد]:	96613	2422	8	3	3.11
تبديل	96613	2422	9	3	2.94
طيف	96613	2422	9	3	2.94
ولكن	96613	2422	52	6	2.81
مستمرًا	96613	2422	3	2	2.74
173	96613	2422	3	2	2.74
لامع	96613	2422	3	2	2.74
زمرد	96613	2422	3	2	2.74
ليمي	96613	2422	3	2	2.74
فضي	96613	2422	3	2	2.74
(لون)	96613	2422	3	2	2.74
ينير	96613	2422	3	2	2.74
الصغير	96613	2422	3	2	2.74
الزيتوني،	96613	2422	3	2	2.74
الداكن،	96613	2422	3	2	2.74
جدًا،	96613	2422	3	2	2.74
لوحة	96613	2422	3	2	2.74
الزرنيخ	96613	2422	3	2	2.74
أخضر:	96613	2422	3	2	2.74
رياض	96613	2422	3	2	2.74
المواهب	96613	2422	3	2	2.74
المحتويات	96613	2422	11	3	2.67
أسود	96613	2422	12	3	2.56
مكان	96613	2422	12	3	2.56
بودكاست	96613	2422	12	3	2.56
متوسط	96613	2422	4	2	2.45
مسمى	96613	2422	4	2	2.45
العروبة	96613	2422	4	2	2.45
الأصلية	96613	2422	4	2	2.45
الحلم	96613	2422	4	2	2.45
الحبيبة	96613	2422	4	2	2.45
مجادلة	96613	2422	4	2	2.45
مائدة	96613	2422	4	2	2.45
عنه،	96613	2422	4	2	2.45
منه.	96613	2422	4	2	2.45
الغابة	96613	2422	4	2	2.45
ويقال	96613	2422	4	2	2.45
مدارس	96613	2422	4	2	2.45
الأهلية	96613	2422	4	2	2.45
ريفنا	96613	2422	4	2	2.45
مصدر	96613	2422	15	3	2.28
الغطاء	96613	2422	15	3	2.28
بنفسجي	96613	2422	5	2	2.23
نتمنى	96613	2422	5	2	2.23
كتبت	96613	2422	5	2	2.23
(الجزيرة	96613	2422	5	2	2.23
نت)	96613	2422	5	2	2.23
أهداف	96613	2422	5	2	2.23
ملخصات	96613	2422	5	2	2.23
الأخضر:	96613	2422	5	2	2.23
الأحجار	96613	2422	5	2	2.23
ج	96613	2422	5	2	2.23
فيها	96613	2422	50	5	2.18
نبات	96613	2422	17	3	2.12
طلاء	96613	2422	6	2	2.07
الكيمياء	96613	2422	6	2	2.07
مماثلة	96613	2422	6	2	2.07
تتميز	96613	2422	6	2	2.07
بعدة	96613	2422	6	2	2.07
مقالة	96613	2422	6	2	2.07
أخضر.	96613	2422	6	2	2.07
زيت	96613	2422	6	2	2.07
قليلًا	96613	2422	6	2	2.07
عشر،	96613	2422	6	2	2.07
فلسطين	96613	2422	18	3	2.06
النباتي	96613	2422	18	3	2.06
يكون	96613	2422	55	5	2.01
عربي	96613	2422	19	3	1.99
عندما	96613	2422	36	4	1.99
إلى	96613	2422	617	24	1.99
خلايا	96613	2422	7	2	1.93
ليبيا	96613	2422	7	2	1.93
^[الإنجليزية]‏	96613	2422	7	2	1.93
رمادي	96613	2422	7	2	1.93
متى	96613	2422	7	2	1.93
وجهه	96613	2422	7	2	1.93
الورق	96613	2422	7	2	1.93
إحدى	96613	2422	7	2	1.93
